Fault_Type,Temperature,Vibration,Pressure,Voltage,Current,FFT_Feature1,FFT_Feature2,Anomaly_Score,Sensor_ID,Year,Month,Day,Hour,Minute,Fault_Status
3,0.7175522628369243,0.7220182310430141,0.48303603696640307,0.47637511609373523,0.6542011925137556,0.6786633863726339,0.9574498520911429,0.1831581113176688,198,2015,1,1,22,12,1
3,0.41212824111296387,0.6557559034606569,0.5613632198690679,0.33119777745203466,0.6597735077744156,0.3914249771260633,0.238759496447068,0.2849754449332813,197,2015,1,2,4,22,1
1,0.4053964048416214,0.5217577875341318,0.6741385862276258,0.6192901713395038,0.5008978348723737,0.24128041894141966,0.5977813823709474,0.7583116034633619,191,2015,1,3,11,48,1
1,0.4403316918176503,0.3958338439812838,0.41665729456251754,0.3991565667795942,0.585656363975994,0.14542000296168855,0.775950146806542,0.5302378524458534,191,2015,1,4,3,36,1
1,0.4542936351389095,0.5188379551632109,0.3537456317139162,0.7504652926586514,0.5976511212547235,0.10833716024262519,0.5542966272428669,0.452209631653895,105,2015,1,5,7,57,1
2,0.5195923931719133,0.5015515850103246,0.4689119185163839,0.5695927984333384,0.29793539454610085,0.9310229605111155,0.3821509671064124,0.4122010559598019,190,2015,1,6,2,9,1
2,0.6122401488737887,0.6352482604714486,0.473096039967177,0.38714058409536345,0.6077684386055683,0.41137530442249337,0.8485314049076783,0.7724876347735223,174,2015,1,7,23,53,1
2,0.49882934626932485,0.3330660418586819,0.5062371946798918,0.5106498728295914,0.5699887743627964,0.21175865851778103,0.6319315325581598,0.7754064365959115,122,2015,1,8,16,40,1
2,0.5253270280723114,0.4077297195077355,0.5145129397845551,0.4755398669089301,0.3199405566875183,0.22267439867855432,0.10642837926329385,0.15435169883840327,183,2015,1,9,4,26,1
2,0.6256417836078103,0.5064161683652194,0.6244792017064899,0.6034745143542986,0.6853751588117853,0.9150677442147946,0.6301039098692315,0.2346822713350576,168,2015,1,10,8,46,1
2,0.6162035055841117,0.5459195157490887,0.32303621241864855,0.5139232776061229,0.5686721026168738,0.8961527679974834,0.9302504404255281,1.031700899443308,116,2015,1,11,13,2,1
1,0.564248937865133,0.5629807434208908,0.5396120664197308,0.5145973017316924,0.40366541701346476,0.92265900402802,0.46027568946921893,0.6153731226877847,194,2015,1,12,2,49,1
1,0.5277457134325755,0.6641090479045522,0.686508490644033,0.4870191274976526,0.5627550220202958,0.59169612854457,0.8349481761623117,0.3524210632927528,177,2015,1,13,13,19,1
3,0.4000049336395318,0.4488721195730026,0.5605184252083953,0.5590271418266796,0.44335018146917005,0.6575024888713434,0.45668008289555123,0.5051489468903501,117,2015,1,14,5,46,1
2,0.4596200636431509,0.3801642073519692,0.5388484090536484,0.3781369301588894,0.45343595815090704,0.12939061669092572,0.9230117412906959,0.8282327560911398,169,2015,1,15,23,53,1
1,0.809545911424643,0.611880405918877,0.5499525437680683,0.5429699049615129,0.6004240631606695,0.9687783931730204,0.8641845594897232,0.6621973214953691,124,2015,1,16,9,23,1
2,0.49820405566883785,0.5456214509878357,0.5390469360944882,0.5132103993134268,0.26403971529316217,0.7414168181966381,0.7369163299183003,0.9645109598012369,113,2015,1,17,22,33,1
2,0.5333656062718688,0.40901558863862303,0.4011077645943295,0.45174207596955546,0.6745989382425119,0.6667314717154629,0.620350990670482,0.7602840723535156,129,2015,1,18,12,15,1
2,0.5244187244503843,0.5009270600018685,0.4036904180407391,0.6173779916037031,0.48830164751014193,0.6304807954575466,0.934133972364598,1.0178437749514764,148,2015,1,19,12,45,1
3,0.47547942329139203,0.6164719000363877,0.5410601528621752,0.5290794927120753,0.29099184077459367,0.40267560167392413,0.366486822109101,0.44060029625706765,181,2015,1,20,7,38,1
3,0.4417098006183202,0.34430240960959585,0.39843046968736073,0.3930181542016577,0.3085981966877412,0.19513808287344536,0.5268767820197282,0.4010416958845726,106,2015,1,21,16,19,1
2,0.45873614592936357,0.49177780678739574,0.5378824964759981,0.3320833770697512,0.3848155925169164,0.5045737958987208,0.2433162930613077,0.7279525812105825,198,2015,1,22,7,41,1
3,0.5956730285862729,0.3889565556312236,0.40717665812040504,0.5564676632290276,0.4027674073480296,0.6886921353696844,0.8471448842943575,0.5439046451785619,192,2015,1,23,10,39,1
2,0.5704743882665319,0.7557688700225249,0.44665453499042673,0.4897016327852908,0.6543929548130242,0.7333876945347244,0.870701562756292,0.9403103129868601,174,2015,1,24,10,17,1
3,0.43644934081836845,0.4456264208027045,0.6867964867491374,0.5671846566644555,0.5592078452683042,0.927096762611274,0.7988183520111735,0.624297513288459,190,2015,1,25,0,11,1
