Sensor_ID,Temperature,Vibration,Pressure,Voltage,Current,FFT_Feature1,FFT_Feature2,Anomaly_Score,Fault_Type,Year,Month,Day,Hour,Minute
104,0.5883226409834978,0.3515836829363127,0.4632255815281093,0.45203540097093753,0.43326334886870904,0.094778393290932,0.5655282277327873,0.7659425647335588,1,2015,1,30,8,52
190,0.46454746735886704,0.38849890004819476,0.3141585384837895,0.39645386772613644,0.5621506594303067,0.4600304448256692,0.9993901253544091,0.8687054283373371,1,2015,1,3,1,29
169,0.49101423794089305,0.7303540590551609,0.3691660177385058,0.33836492873154944,0.5085682262503882,0.5140421106080548,0.02252394742566506,0.31175233433374716,1,2015,1,2,2,58
135,0.5770263610462734,0.3279540452407019,0.42566660455467925,0.45717929883864666,0.5074807747970385,0.42970318813344516,0.8336477699272177,0.06485826146266142,1,2015,1,4,10,7
132,0.6066262077807231,0.4314495939545677,0.5710457791569201,0.31979771257819367,0.5938652228031679,0.5671471558405512,0.5720699854206565,0.3561020575261237,1,2015,1,20,10,48
114,0.7581310856222059,0.5180257568348753,0.18804610872503222,0.4278412110894899,0.5545926492033065,0.924630316064433,0.8842141799479918,0.1586181372499735,1,2015,1,31,8,25
181,0.5747677074931897,0.4804558414702027,0.31626276094853517,0.5544803747996525,0.6976172486901964,0.422331558368122,0.4621022272213712,0.781115145424098,1,2015,1,7,5,59
127,0.405089118843927,0.7682339617380274,0.3080280030718161,0.35250689850828965,0.5707245555265043,0.8911319314622835,0.2419784979852083,0.3152702120963069,1,2015,1,30,5,41
153,0.4919539840864686,0.5876975504612423,0.31681554763943715,0.48364758988616063,0.7207019400712016,0.7391480955667518,0.7917936192650347,0.6144923235695647,1,2015,1,4,6,46
172,0.5230642796389294,0.675337664469481,0.42985294346552333,0.4669755197011429,0.32950202423474123,0.6754192882843044,0.8299066419447503,0.9243387127797863,1,2015,1,6,1,0
182,0.3875283538257429,0.5871809655211803,0.5139421995967921,0.5100389130323686,0.5392051660573642,0.34245834490294286,0.10402855534788573,0.7681246208957605,1,2015,1,27,5,11
149,0.5332305925242922,0.5103632597520067,0.49088915389482035,0.37411926652863975,0.7911752014431048,0.004283402062409598,0.626867712412045,0.06964622709363671,1,2015,1,27,1,1
166,0.48793588028507917,0.5037917043406736,0.44012736655278223,0.5738893820461124,0.6186865234533071,0.2284070918961406,0.302799179725876,0.7633997554092358,1,2015,1,18,3,0
102,0.6057759717504378,0.549921340118336,0.3477418448526106,0.48771247092262815,0.5717878553418912,0.7671840245744634,0.9965376734078272,0.18468487023032817,1,2015,1,5,15,30
131,0.5670996732812105,0.5985834916388696,0.4445308218395631,0.5066461880138744,0.6936345670899755,0.2784687547611199,0.8945386349272901,0.03340069554537375,1,2015,1,22,12,52
127,0.5819273907133483,0.4384647283049332,0.352586323795489,0.6708931950361189,0.4111987599528384,0.1439013244518706,0.11006411399318973,0.562476149679526,1,2015,1,11,2,19
142,0.6166994664291544,0.656668566227985,0.331787031298589,0.6863863727058108,0.43515084057503906,0.1834420249856806,0.9724592705290003,0.724931498480479,1,2015,1,10,16,33
192,0.8292803879472878,0.492498137237657,0.5164169383184135,0.6851489534050653,0.5549978984162609,0.4169167250296862,0.07021614216492562,0.18580243622928136,1,2015,1,2,14,42
105,0.5936488022615063,0.46580851994029365,0.49841728073048464,0.7968954902975217,0.7371533885373419,0.7813392611301132,0.7462318680423409,0.42906552705049816,1,2015,1,28,3,25
159,0.36876275271108705,0.5269850180683445,0.4302457957846229,0.7614970605457129,0.5738229099691129,0.8401597974108228,0.7123920125273149,0.15388722131786114,1,2015,1,2,20,54
154,0.6968778594272786,0.4951372824343185,0.2995758104062746,0.5140789556173747,0.41764188071726865,0.3276569009625539,0.5190007390545464,0.26623465175363814,1,2015,1,28,14,29
165,0.49587144838863284,0.5974327879455421,0.6324759755114608,0.34562791431553036,0.572594304901668,0.6484965185881302,0.4982508435929843,0.46647268149396226,1,2015,1,20,5,50
171,0.7135130524258686,0.5105884117360739,0.5446818436876654,0.47690623625445056,0.5387781953363746,0.5402833421480412,0.7178677642061962,0.796233084362047,1,2015,1,2,22,1
157,0.4293002568806516,0.6044351741528371,0.4461832498477026,0.42617829064274126,0.42987199552662686,0.8193353280324287,0.6980252888363199,0.9234155430912365,1,2015,1,5,14,41
160,0.6207163994561268,0.24601789033456384,0.35502243402050215,0.4873796890386313,0.3209762858873056,0.5407205217049618,0.21217978048116606,0.485998287446343,1,2015,1,25,18,44
151,0.6908545860882899,0.5919942447959262,0.2730037722019264,0.6345423144898574,0.5861120391337326,0.5728428635693976,0.18383484223588595,0.5091372130469967,1,2015,2,1,12,8
